,SQUADRA,P,P.G.,V,P.1,P.S.,P.Sub.,D.P.,V Casa,V Fuori,P Casa,P Fuori
0,Cral Dalmine,48.0,26.0,24.0,2.0,1895.0,1564.0,331.0,13.0,11.0,0.0,2.0
1,Bottanuco  Basket,42.0,26.0,21.0,5.0,1977.0,1612.0,365.0,11.0,10.0,2.0,3.0
2,Basket  Vercurago,32.0,26.0,16.0,10.0,1591.0,1478.0,113.0,8.0,8.0,5.0,5.0
3,BK Cologno  A/S.,32.0,26.0,16.0,10.0,1899.0,1818.0,81.0,9.0,7.0,4.0,6.0
4,Scuola BK  Treviglio,30.0,26.0,15.0,11.0,1658.0,1604.0,54.0,8.0,7.0,5.0,6.0
5,G.S. Giovanile  Civatese,28.0,26.0,14.0,12.0,1791.0,1746.0,45.0,7.0,7.0,6.0,6.0
6,ARS Rovagnate,28.0,26.0,14.0,12.0,1795.0,1776.0,19.0,9.0,5.0,4.0,8.0
7,Basket  Bellusco,26.0,26.0,13.0,13.0,1684.0,1685.0,-1.0,10.0,3.0,3.0,10.0
8,Autovittani  Pescate,24.0,26.0,12.0,14.0,1690.0,1749.0,-59.0,7.0,5.0,6.0,8.0
9,US S.  Pellegrino BK,20.0,26.0,10.0,16.0,1753.0,1894.0,-141.0,4.0,6.0,9.0,7.0
10,Basket  Verdello,16.0,26.0,8.0,18.0,1815.0,1861.0,-46.0,4.0,4.0,9.0,9.0
11,Pol. Mandello  Lario,16.0,26.0,8.0,18.0,1620.0,1935.0,-315.0,5.0,3.0,8.0,10.0
12,Pol.  Castegnato,14.0,26.0,7.0,19.0,1726.0,1868.0,-142.0,3.0,4.0,10.0,9.0
13,Butterfly  Italia Mezzago,8.0,26.0,4.0,22.0,1388.0,1692.0,-304.0,2.0,2.0,11.0,11.0
