,SQUADRA,P,P.G,V,P.1,P.S,P.Sub,D.P,V.Casa,V.Fuori,P.Casa,P.Fuori
0,Fulgor  Omegna,50.0,30.0,25.0,5.0,2235.0,1877.0,358.0,15.0,10.0,0.0,5.0
1,Fiorentina  Basket Scandicci,50.0,30.0,25.0,5.0,2476.0,2146.0,330.0,15.0,10.0,0.0,5.0
2,Urania  Basket Milano,42.0,30.0,21.0,9.0,2343.0,2151.0,192.0,12.0,9.0,3.0,6.0
3,Montecatini Basketball,40.0,30.0,20.0,10.0,2285.0,2055.0,230.0,12.0,8.0,3.0,7.0
4,Basket  Golfo Piombino,36.0,30.0,18.0,12.0,2197.0,2154.0,43.0,12.0,6.0,3.0,9.0
5,Valsesia  Basket Borgosesia,34.0,30.0,17.0,13.0,2157.0,2038.0,119.0,10.0,7.0,5.0,8.0
6,Basket  Cecina ASD,34.0,30.0,17.0,13.0,2227.0,2291.0,-64.0,11.0,6.0,4.0,9.0
7,Sangiorgese  S. Giorgio L.,32.0,30.0,16.0,14.0,2205.0,2136.0,69.0,10.0,6.0,5.0,9.0
8,US Empolese  ASD,32.0,30.0,16.0,14.0,2204.0,2160.0,44.0,10.0,6.0,5.0,9.0
9,Omnia  Basket Pavia,30.0,30.0,15.0,15.0,2183.0,2145.0,38.0,11.0,4.0,4.0,11.0
10,Etrusca  Basket S. Miniato,28.0,30.0,14.0,16.0,2006.0,2079.0,-73.0,7.0,7.0,8.0,8.0
11,Oleggio  Magic Basket,26.0,30.0,13.0,17.0,2156.0,2177.0,-21.0,7.0,6.0,8.0,9.0
12,Robur Et  Fides Varese,20.0,30.0,10.0,20.0,1975.0,2148.0,-173.0,8.0,2.0,7.0,13.0
13,Olimpo  Basket Alba,16.0,30.0,8.0,22.0,2143.0,2350.0,-207.0,4.0,4.0,11.0,11.0
14,Pall.  Moncalieri S. Mauro,10.0,30.0,5.0,25.0,1934.0,2241.0,-307.0,3.0,2.0,12.0,13.0
15,Lib.  Liburna Basket Livorno,0.0,30.0,0.0,30.0,2061.0,2639.0,-578.0,0.0,0.0,15.0,15.0
